2 dn Bestand   ;Bouwvergnr. (2);  ;Postcode;9.2 zn ;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;2zn  Zaaknummer;19.1 DN Tabnaam;4 dn Omschrijving ;9.1  zn Datum vergunning ;4 zn Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;15c 1.4 ZN Gemeente;51 zn classificatiecode ;5.2 zn Omschrijving classificatiecode ;5.3 zn Bron ;Omschrijving ;Gemeentecode;5.4 zn Bron classificatiecode ;15c 1.2 ZN KvK nummer;21.4 BN Omvang in MB;21.2.2 BN Bestandsformaat;11 zn ;12.2 zn Datum vergunning;12.4 ZN Bouw-en woningtoezicht;15.2 DN +zn+bn Hierarchisch;Gemeente;15c 1.3 ZN Organisatie;Verlenen van bouwvergunningen;16 ZN Vrij te gebruiken;18.1 ZN Openbaar;20 ZN Integer;21.3 BN Enkelvoudig;21.8 BN Aanmaakdatum bestand;21.5 BN Aggregatieniveau;15.1 ZN Relatie ID;21.7.2 AR Checksum;21.7.3 BN Datum;21.7.1 BN Algoritme;17.1 ZN +DN Classificatie;;9.1  zn Datum vergunning ;2zn  Zaaknummer;2 dn Bestand   ;2 dn Bestand   
GDB-0043-01;;Julianalaan;;Julianalaan Raamsdonksveer;Julianalaan;;;Julianalaan;;837;1947;NL-0834-470837;Beschikking;Bouwvergunning Beschikking vernieuwen schuur-timmerwerkplaats Julianalaan Raamsdonksveer 21-2-1947;1947.02.21;Vernieuwen schuur-timmerwerkplaats Julianalaan 21-2-1947;Bouwvergunning vernieuwen schuur-timmerwerkplaats Julianalaan Raamsdonksveer 21-2-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.02.21;SHA-256;Niet vertrouwelijk ;;1947.02.21;NL-0834-470837;GDB-0043-01;GDB-0043-01
GDB-0043-02;;Julianalaan;;Julianalaan Raamsdonksveer;Julianalaan;;;Julianalaan;;837;1947;NL-0834-470837;Tekening (technisch);Bouwvergunning tekening vernieuwen schuur-timmerwerkplaats Julianalaan Raamsdonksveer 21-2-1947;1947.02.21;Vernieuwen schuur-timmerwerkplaats Julianalaan 21-2-1947;Bouwvergunning Vernieuwen schuur-timmerwerkplaats Julianalaan 21-2-1947;raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.02.21;SHA-256;Niet vertrouwelijk ;;1947.02.21;NL-0834-470837;GDB-0043-02;GDB-0043-02
GDB-0045-01;;Luiten Ambachtstraat;;Luiten Ambachtstraat Raamsdonk;Luiten Ambachtstraat;;;Luiten Ambachtstraat;;885;1947;NL-0834-470885;Beschikking;Bouwvergunning Beschikking herbouw woonhuis Luiten Ambachtstraat Raamsdonk  28-3-1947;1947.03.28;herbouw woonhuis Luiten Ambachtstraat Raamsdonk  28-3-1947;Bouwvergunning herbouw woonhuis Luiten Ambachtstraat Raamsdonk  28-3-1947;raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.03.28;SHA-256;Niet vertrouwelijk ;;1947.03.28;NL-0834-470885;GDB-0045-01;GDB-0045-01
GDB-0045-02;;Luiten Ambachtstraat;;Luiten Ambachtstraat Raamsdonk;Luiten Ambachtstraat;;;Luiten Ambachtstraat;;885;1947;NL-0834-470885;Tekening (technisch);Bouwvergunning tekening herbouw woonhuis Luiten Ambachtstraat Raamsdonk  28-3-1947;1947.03.28;  herbouw woonhuis Luiten Ambachtstraat Raamsdonk  28-3-1947;Bouwvergunning herbouw woonhuis Luiten Ambachtstraat Raamsdonk  28-3-1947;raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.03.28;SHA-256;Niet vertrouwelijk ;;1947.03.28;NL-0834-470885;GDB-0045-02;GDB-0045-02
GDB-0046-01;;bergenstraat;;Bergenstraat Raamsdonk;bergenstraat;;;bergenstraat;;896;1947;NL-0834-470896;Beschikking;Bouwvergunning beschikking herstellen voor en zijgevel landbouwschuur Bergenstraat Raamsdonk  02-5-1947;1947.05.02;  herstellen voor en zijgevel landbouwschuur Bergenstraat Raamsdonk  02-5-1947;Bouwvergunning  herstellen voor en zijgevel landbouwschuur Bergenstraat Raamsdonk  02-5-1947;raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.05.02;SHA-256;Niet vertrouwelijk ;;1947.05.02;NL-0834-470896;GDB-0046-01;GDB-0046-01
GDB-0046-02;;bergenstraat;;Bergenstraat Raamsdonk;bergenstraat;;;bergenstraat;;896;1947;NL-0834-470896;Tekening (technisch);Bouwvergunning tekening herstellen voor en zijgevel landbouwschuur Bergenstraat Raamsdonk  02-5-1947;1947.05.02;  herstellen voor en zijgevel landbouwschuur Bergenstraat Raamsdonk  02-5-1947;Bouwvergunning herstellen voor en zijgevel landbouwschuur Bergenstraat Raamsdonk  02-5-1947;raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.05.02;SHA-256;Niet vertrouwelijk ;;1947.05.02;NL-0834-470896;GDB-0046-02;GDB-0046-02
GDB-0047-01;;Prins Hendrikstraat;;Prins Hendrikstraat Raamsdonksveer;Prins Hendrikstraat;;;Prins Hendrikstraat;;898;1947;NL-0834-470898;Beschikking;Bouwvergunning beschikking verbouwen woning Prins Hendrikstraat  Raamsdonksveer   08-5-1947;1947.05.08;  verbouwen woning Prins Hendrikstraat  Raamsdonksveer   08-5-1947;Bouwvergunning  verbouwen woning Prins Hendrikstraat  Raamsdonksveer   08-5-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.05.08;SHA-256;Niet vertrouwelijk ;;1947.05.08;NL-0834-470898;GDB-0047-01;GDB-0047-01
GDB-0047-02;;Prins Hendrikstraat;;Prins Hendrikstraat Raamsdonksveer;Prins Hendrikstraat;;;Prins Hendrikstraat;;898;1947;NL-0834-470898;Tekening (technisch);Bouwvergunning tekening verbouwen woning Prins Hendrikstraat  Raamsdonksveer   08-5-1947;1947.05.08; tekening verbouwen woning Prins Hendrikstraat  Raamsdonksveer   08-5-1947;Bouwvergunning tekening verbouwen woning Prins Hendrikstraat  Raamsdonksveer   08-5-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.05.08;SHA-256;Niet vertrouwelijk ;;1947.05.08;NL-0834-470898;GDB-0047-02;GDB-0047-02
GDB-0048-01;;Laan;;Laan Raamsdonk;Laan;;;Laan;;934;1947;NL-0834-470934;Beschikking;Bouwvergunning beschikking bouwen schuurtje met varkensstal aan Laan te Raamsdonk   23-5-1947;1947.05.23;  bouwen schuurtje met varkensstal aan Laan te Raamsdonk   23-5-1947;Bouwvergunning bouwen schuurtje met varkensstal aan Laan te Raamsdonk   23-5-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.05.23;SHA-256;Niet vertrouwelijk ;;1947.05.23;NL-0834-470934;GDB-0048-01;GDB-0048-01
GDB-0048-02;;Laan;;Laan Raamsdonk;Laan;;;Laan;;934;1947;NL-0834-470934;Tekening (technisch);Bouwvergunning tekening bouwen schuurtje met varkensstal aan Laan te Raamsdonk   23-5-1947;1947.05.23;  bouwen schuurtje met varkensstal aan Laan te Raamsdonk   23-5-1947;Bouwvergunning  bouwen schuurtje met varkensstal aan Laan te Raamsdonk   23-5-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.05.23;SHA-256;Niet vertrouwelijk ;;1947.05.23;NL-0834-470934;GDB-0048-02;GDB-0048-02
GDB-0049-01;;Nieuwe weg;;Nieuwe weg Raamsdonk;Nieuwe weg;;;Nieuwe weg;;941;1947;NL-0834-470941;Beschikking;Bouwvergunning beschikking herbouwen woning Nieuwe Weg te Raamsdonk   13-6-1947;1947.06.13;  herbouwen woning Nieuwe Weg te Raamsdonk   13-6-1947;Bouwvergunning  herbouwen woning Nieuwe Weg te Raamsdonk   13-6-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.06.13;SHA-256;Niet vertrouwelijk ;;1947.06.13;NL-0834-470941;GDB-0049-01;GDB-0049-01
GDB-0049-02;;Nieuwe weg;;Nieuwe weg Raamsdonk;Nieuwe weg;;;Nieuwe weg;;941;1947;NL-0834-470941;Tekening (technisch);Bouwvergunning tekening herbouwen woning Nieuwe Weg te Raamsdonk   13-6-1947;1947.06.13;  herbouwen woning Nieuwe Weg te Raamsdonk   13-6-1947;Bouwvergunning herbouwen woning Nieuwe Weg te Raamsdonk   13-6-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.06.13;SHA-256;Niet vertrouwelijk ;;1947.06.13;NL-0834-470941;GDB-0049-02;GDB-0049-02
GDB-0050-01;;Groensteeg;;Groensteeg;Groensteeg;;;Groensteeg;;946;1947;NL-0834-470946;Beschikking;Bouwvergunning beschikking bouwen 18 woningen Groensteeg/Keiweg Raamsdonksveer   20-6-1947;1947.06.20;  bouwen 18 woningen Groensteeg/Keiweg Raamsdonksveer   20-6-1947;Bouwvergunning bouwen 18 woningen Groensteeg/Keiweg Raamsdonksveer   20-6-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.06.20;SHA-256;Niet vertrouwelijk ;;1947.06.20;NL-0834-470946;GDB-0050-01;GDB-0050-01
GDB-0051-01;;Sandoel;;Sandoel;Sandoel;;;Sandoel;;946a;1947;NL-0834-470946a;Beschikking;Bouwvergunning beschikking bouwen 14 woningen Sandoel Raamsdonksveer   20-6-1947;1947.06.20;  bouwen 14 woningen Sandoel Raamsdonksveer   20-6-1947;Bouwvergunning  bouwen 14 woningen Sandoel Raamsdonksveer   20-6-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.06.20;SHA-256;Niet vertrouwelijk ;;1947.06.20;NL-0834-470946a;GDB-0051-01;GDB-0051-01
GDB-0052-01;;Putstraat;;Putstraat Raamsdonk;Putstraat;;;Putstraat;;963;1947;NL-0834-470963;Beschikking;Bouwvergunning beschikking herstellen woning Putstraat Raamsdonk   04-7-1947;1947.07.04;  herstellen woning Putstraat Raamsdonk   04-7-1947;Bouwvergunning  herstellen woning Putstraat Raamsdonk   04-7-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.04;SHA-256;Niet vertrouwelijk ;;1947.07.04;NL-0834-470963;GDB-0052-01;GDB-0052-01
GDB-0053-01;;Schoolplein;;Schoolplein Raamsdonksveer;Schoolplein;;;Schoolplein;;963a;1947;NL-0834-470963a;Beschikking;Bouwvergunning beschikking herstellen Henricusgebouw Schoolplein Raamsdonksveer   04-7-1947;1947.07.04;  herstellen Henricusgebouw Schoolplein Raamsdonksveer   04-7-1947;Bouwvergunning herstellen Henricusgebouw Schoolplein Raamsdonksveer   04-7-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.04;SHA-256;Niet vertrouwelijk ;;1947.07.04;NL-0834-470963a;GDB-0053-01;GDB-0053-01
GDB-0054-01;;Keizersdijk;;Keizersdijk Raamsdonksveer ;Keizersdijk;;;Keizersdijk;;964;1947;NL-0834-470964;Beschikking;Bouwvergunning beschikking herstellen woning Keizersdijk en garagen Raamsdonksveer   04-7-1947;1947.07.04;  herstellen woning Keizersdijk en garagen Raamsdonksveer   04-7-1947;Bouwvergunning  herstellen woning Keizersdijk en garagen Raamsdonksveer   04-7-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.04;SHA-256;Niet vertrouwelijk ;;1947.07.04;NL-0834-470964;GDB-0054-01;GDB-0054-01
GDB-0054-02;;Keizersdijk;;Keizersdijk Raamsdonksveer ;Keizersdijk;;;Keizersdijk;;964;1947;NL-0834-470964;Tekening (technisch);Bouwvergunning tekening herstellen woning Keizersdijk en garagen Raamsdonksveer   04-7-1947;1947.07.04;  herstellen woning Keizersdijk en garagen Raamsdonksveer   04-7-1947;Bouwvergunning  herstellen woning Keizersdijk en garagen Raamsdonksveer   04-7-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.04;SHA-256;Niet vertrouwelijk ;;1947.07.04;NL-0834-470964;GDB-0054-02;GDB-0054-02
GDB-0054-03;;Keizersdijk;;Keizersdijk Raamsdonksveer ;Keizersdijk;;;Keizersdijk;;964;1947;NL-0834-470964;overige documenten;Bouwvergunning overige documenten herstellen woning Keizersdijk en garagen Raamsdonksveer   04-7-1947;1947.07.04;   herstellen woning Keizersdijk en garagen Raamsdonksveer   04-7-1947;Bouwvergunning   herstellen woning Keizersdijk en garagen Raamsdonksveer   04-7-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.04;SHA-256;Niet vertrouwelijk ;;1947.07.04;NL-0834-470964;GDB-0054-03;GDB-0054-03
GDB-0055-01;;Laan;;Laan Raamsdonk;Laan;;;Laan;;965;1947;NL-0834-470965;Beschikking;Bouwvergunning beschikking herstellen en verbouwen woning  aan Laan te Raamsdonk   11-7-1947;1947.07.11;  herstellen en verbouwen woning  aan Laan te Raamsdonk   11-7-1947;Bouwvergunning  herstellen en verbouwen woning  aan Laan te Raamsdonk   11-7-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.11;SHA-256;Niet vertrouwelijk ;;1947.07.11;NL-0834-470965;GDB-0055-01;GDB-0055-01
GDB-0055-02;;Laan;;Laan Raamsdonk;Laan;;;Laan;;965;1947;NL-0834-470965;Tekening (technisch);Bouwvergunning tekening herstellen en verbouwen woning  aan Laan te Raamsdonk   11-7-1947;1947.07.11;  herstellen en verbouwen woning  aan Laan te Raamsdonk   11-7-1947;Bouwvergunning herstellen en verbouwen woning  aan Laan te Raamsdonk   11-7-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.11;SHA-256;Niet vertrouwelijk ;;1947.07.11;NL-0834-470965;GDB-0055-02;GDB-0055-02
GDB-0056-01;;Prins Hendrikstraat;;Prins Hendrikstraat Raamsdonksveer;Prins Hendrikstraat;;;Prins Hendrikstraat;;966;1947;NL-0834-470966;Beschikking;Bouwvergunning beschikking herstellen woning  Prins Hendrikstraat Raamsdonksveer   11-7-1947;1947.07.11;  herstellen woning  Prins Hendrikstraat Raamsdonksveer   11-7-1947;Bouwvergunning  herstellen woning  Prins Hendrikstraat Raamsdonksveer   11-7-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.11;SHA-256;Niet vertrouwelijk ;;1947.07.11;NL-0834-470966;GDB-0056-01;GDB-0056-01
