2 dn Bestand   ;Bouwvergnr. (2);  ;Postcode;9.2 zn ;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;2zn  Zaaknummer;19.1 DN Tabnaam;4 dn Omschrijving ;9.1  zn Datum vergunning ;4 zn Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;15c 1.4 ZN Gemeente;51 zn classificatiecode ;5.2 zn Omschrijving classificatiecode ;5.3 zn Bron ;Omschrijving ;Gemeentecode;5.4 zn Bron classificatiecode ;15c 1.2 ZN KvK nummer;21.4 BN Omvang in MB;21.2.2 BN Bestandsformaat;11 zn ;12.2 zn Datum vergunning;12.4 ZN Bouw-en woningtoezicht;15.2 DN +zn+bn Hierarchisch;Gemeente;15c 1.3 ZN Organisatie;Verlenen van bouwvergunningen;16 ZN Vrij te gebruiken;18.1 ZN Openbaar;20 ZN Integer;21.3 BN Enkelvoudig;21.8 BN Aanmaakdatum bestand;21.5 BN Aggregatieniveau;15.1 ZN Relatie ID;21.7.2 AR Checksum;21.7.3 BN Datum;21.7.1 BN Algoritme;17.1 ZN +DN Classificatie;;9.1  zn Datum vergunning ;2zn  Zaaknummer;2 dn Bestand   ;2 dn Bestand   
GDB-0056-02;;Prins Hendrikstraat;;Prins Hendrikstraat Raamsdonksveer;Prins Hendrikstraat;;;Prins Hendrikstraat;;966;1947;NL-0834-470966;Tekening (technisch);Bouwvergunning tekening herstellen woning  Prins Hendrikstraat Raamsdonksveer   11-7-1947;1947.07.11;  herstellen woning  Prins Hendrikstraat Raamsdonksveer   11-7-1947;Bouwvergunning  herstellen woning  Prins Hendrikstraat Raamsdonksveer   11-7-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.11;SHA-256;Niet vertrouwelijk ;;1947.07.11;NL-0834-470966;GDB-0056-02;GDB-0056-02
GDB-0057-01;;Stationstraat;;Stationstraat Raamsdonk;Stationstraat;;;Stationstraat;;976;1947;NL-0834-470967;Beschikking;Bouwvergunning beschikking herstellen en uitbreiden woning  aan Stationstraat  Raamsdonk   11-7-1947;1947.07.11;  herstellen en uitbreiden woning  aan Stationstraat  Raamsdonk   11-7-1947;Bouwvergunning  herstellen en uitbreiden woning  aan Stationstraat  Raamsdonk   11-7-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.11;SHA-256;Niet vertrouwelijk ;;1947.07.11;NL-0834-470967;GDB-0057-01;GDB-0057-01
GDB-0057-02;;Stationstraat;;Stationstraat Raamsdonk;Stationstraat;;;Stationstraat;;967;1947;NL-0834-470967;Tekening (technisch);Bouwvergunning tekening herstellen en uitbreiden woning  aan Stationstraat  Raamsdonk   11-7-1947;1947.07.11;  herstellen en uitbreiden woning  aan Stationstraat  Raamsdonk   11-7-1947;Bouwvergunning  herstellen en uitbreiden woning  aan Stationstraat  Raamsdonk   11-7-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.11;SHA-256;Niet vertrouwelijk ;;1947.07.11;NL-0834-470967;GDB-0057-02;GDB-0057-02
GDB-0058-01;;Kerkweg;;Kerkweg Raamsdonk;Kerkweg;;;Kerkweg;;969;1947;NL-0834-470969;Beschikking;Bouwvergunning beschikking herstellen en uitbreiden woning  aan Kerkweg  Raamsdonk   14-08-1947;1947.08.14;  herstellen en uitbreiden woning  aan Kerkweg  Raamsdonk   14-08-1947;Bouwvergunning  herstellen en uitbreiden woning  aan Kerkweg  Raamsdonk   14-08-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.08.14;SHA-256;Niet vertrouwelijk ;;1947.08.14;NL-0834-470969;GDB-0058-01;GDB-0058-01
GDB-0058-02;;Kerkweg;;Kerkweg Raamsdonk;Kerkweg;;;Kerkweg;;969;1947;NL-0834-470969;Tekening (technisch);Bouwvergunning tekening herstellen en uitbreiden woning  aan Kerkweg  Raamsdonk   14-08-1947;1947.08.14;  herstellen en uitbreiden woning  aan Kerkweg  Raamsdonk   14-08-1947;Bouwvergunning  herstellen en uitbreiden woning  aan Kerkweg  Raamsdonk   14-08-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.08.14;SHA-256;Niet vertrouwelijk ;;1947.08.14;NL-0834-470969;GDB-0058-02;GDB-0058-02
GDB-0407-01;;Stationstraat;;Stationstraat 11 Raamsdonk;Stationstraat;11;;Stationstraat 11;;496;1955;NL-0834-550496;Beschikking;Bouwvergunning beschikking plaatsen overkapping Stationstraat 11  Raamsdonk   11-02-1955;1955.02.11;  plaatsen overkapping Stationstraat 11  Raamsdonk   11-02-1955;Bouwvergunning  plaatsen overkapping Stationstraat 11  Raamsdonk   11-02-1955;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1955.02.11;SHA-256;Niet vertrouwelijk ;;1955.02.11;NL-0834-55096;GDB-0407-01;GDB-0407-01
GDB-0407-02;;Stationstraat;;Stationstraat 11 Raamsdonk;Stationstraat;11;;Stationstraat 11;;496;1955;NL-0834-550496;Tekening (technisch);Bouwvergunning Tekening plaatsen overkapping Stationstraat 11  Raamsdonk   11-02-1955;1955.02.11;  plaatsen overkapping Stationstraat 11  Raamsdonk   11-02-1955;Bouwvergunning plaatsen overkapping Stationstraat 11  Raamsdonk   11-02-1955;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1955.02.11;SHA-256;Niet vertrouwelijk ;;1955.02.11;NL-0834-550496;GDB-0407-02;GDB-0407-02
GDB-0408-01;;Irenestraat;;Irenestraat Raamsdonksveer;Irenestraat;;;Irenestraat;;506;1955;NL-0834-550506;Beschikking;Bouwvergunning beschikking bouwen woning aan de Irenestraat Raamsdonksveer  18-02-1955;1955.02.18;bouwen woning aan de Irenestraat Raamsdonksveer  18-02-1955;Bouwvergunningbouwen woning aan de Irenestraat Raamsdonksveer  18-02-1955;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1955.02.18;SHA-256;Niet vertrouwelijk ;;1955.02.18;NL-0834-550506;GDB-0408-01;GDB-0408-01
GDB-0408-02;;Irenestraat;;Irenestraat Raamsdonksveer;Irenestraat;;;Irenestraat;;506;1955;NL-0834-550506;Tekening (technisch);Bouwvergunning tekening bouwen woning aan de Irenestraat Raamsdonksveer  18-02-1955;1955.02.18;bouwen woning aan de Irenestraat Raamsdonksveer  18-02-1955;Bouwvergunningbouwen woning aan de Irenestraat Raamsdonksveer  18-02-1955;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1955.02.18;SHA-256;Niet vertrouwelijk ;;1955.02.18;NL-0834-550506;GDB-0408-02;GDB-0408-02
GDB-0409-01;;Irenestraat;;Irenestraat Raamsdonksveer;Irenestraat;;;Irenestraat;;505;1955;NL-0834-550505;Beschikking;Bouwvergunning beschikking bouwen woning aan de Irenestraat Raamsdonksveer  18-02-1955;1955.02.18;bouwen woning aan de Irenestraat Raamsdonksveer  18-02-1955;Bouwvergunningbouwen woning aan de Irenestraat Raamsdonksveer  18-02-1955;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1955.02.18;SHA-256;Niet vertrouwelijk ;;1955.02.18;NL-0834-550505;GDB-0409-01;GDB-0409-01
GDB-0409-02;;Irenestraat;;Irenestraat Raamsdonksveer;Irenestraat;;;Irenestraat;;505;1955;NL-0834-550505;Tekening (technisch);Bouwvergunning tekening bouwen woning aan de Irenestraat Raamsdonksveer  18-02-1955;1955.02.18;bouwen woning aan de Irenestraat Raamsdonksveer  18-02-1955;Bouwvergunningbouwen woning aan de Irenestraat Raamsdonksveer  18-02-1955;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1955.02.18;SHA-256;Niet vertrouwelijk ;;1955.02.18;NL-0834-550505;GDB-0409-02;GDB-0409-02
GDB-0410-01;;Boterpolder;;Boterpolder Raamsdonksveer;Boterpolder;;;Boterpolder;;507;1955;NL-0834-550507;Beschikking;Bouwvergunning beschikking bouwen 10 woningen  aan de Boterpolder Raamsdonksveer  18-02-1955;1955.02.18; beschikking bouwen 10 woningen  aan de Boterpolder Raamsdonksveer  18-02-1955;Bouwvergunning beschikking bouwen 10 woningen  aan de Boterpolder Raamsdonksveer  18-02-1955;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1955.02.18;SHA-256;Niet vertrouwelijk ;;1955.02.18;NL-0834-550507;GDB-0410-01;GDB-0410-01
GDB-0410-02;;Boterpolder;;Boterpolder Raamsdonksveer;Boterpolder;;;Boterpolder;;507;1955;NL-0834-550507;Tekening (technisch);Bouwvergunning tekening bouwen 10 woningen  aan de Boterpolder Raamsdonksveer  18-02-1955;1955.02.18; beschikking bouwen 10 woningen  aan de Boterpolder Raamsdonksveer  18-02-1955;Bouwvergunning beschikking bouwen 10 woningen  aan de Boterpolder Raamsdonksveer  18-02-1955;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1955.02.18;SHA-256;Niet vertrouwelijk ;;1955.02.18;NL-0834-550507;GDB-0410-02;GDB-0410-02
GDB-0410-03;;Boterpolder;;Boterpolder Raamsdonksveer;Boterpolder;;;Boterpolder;;507;1955;NL-0834-550507;overige documenten;Bouwvergunning overige documenten bouwen 10 woningen  aan de Boterpolder Raamsdonksveer  18-02-1955;1955.02.18; beschikking bouwen 10 woningen  aan de Boterpolder Raamsdonksveer  18-02-1955;Bouwvergunning beschikking bouwen 10 woningen  aan de Boterpolder Raamsdonksveer  18-02-1955;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1955.02.18;SHA-256;Niet vertrouwelijk ;;1955.02.18;NL-0834-550507;GDB-0410-03;GDB-0410-03
GDB-0412-01;;Luiten Ambachtstraat;;Luiten Ambachtstraat 44 Raamsdonk;Luiten Ambachtstraat;44;;Luiten Ambachtstraat 44;;508;1955;NL-0834-550508;Beschikking;Bouwvergunning beschikking verbouw kantoren Luiten Ambachtstraat 44 Raamsdonk 25-02-1955;1955.02.25;verbouw kantoren Luiten Ambachtstraat 44 Raamsdonk 25-02-1955;Bouwvergunningverbouw kantoren Luiten Ambachtstraat 44 Raamsdonk 25-02-1955;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1955.02.25;SHA-256;Niet vertrouwelijk ;;1955.02.25;NL-0834-550508;GDB-0412-01;GDB-0412-01
GDB-0412-02;;Luiten Ambachtstraat;;Luiten Ambachtstraat 44 Raamsdonk;Luiten Ambachtstraat;44;;Luiten Ambachtstraat 44;;508;1955;NL-0834-550508;Tekening (technisch);Bouwvergunning tekening verbouw kantoren Luiten Ambachtstraat 44 Raamsdonk 25-02-1955;1955.02.25;verbouw kantoren Luiten Ambachtstraat 44 Raamsdonk 25-02-1955;Bouwvergunningverbouw kantoren Luiten Ambachtstraat 44 Raamsdonk 25-02-1955;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1955.02.25;SHA-256;Niet vertrouwelijk ;;1955.02.25;NL-0834-550508;GDB-0412-02;GDB-0412-02
GDB-0413-01;;Molenstraat;;Molenstraat 28 Raamsdonk;Molenstraat;28;;Molenstraat 28;;509;1955;NL-0834-550509;Beschikking;Bouwvergunning beschikking bouw warenhuis Molenstraat 28 Raamsdonk 25-02-1955;1955.02.25;bouw warenhuis Molenstraat 28 Raamsdonk 25-02-1955;Bouwvergunningbouw warenhuis Molenstraat 28 Raamsdonk 25-02-1955;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1955.02.25;SHA-256;Niet vertrouwelijk ;;1955.02.25;NL-0834-550509;GDB-0413-01;GDB-0413-01
GDB-0413-02;;Molenstraat;;Molenstraat 28 Raamsdonk;Molenstraat;28;;Molenstraat 28;;509;1955;NL-0834-550509;Tekening (technisch);Bouwvergunning tekening bouw warenhuis Molenstraat 28 Raamsdonk 25-02-1955;1955.02.25;bouw warenhuis Molenstraat 28 Raamsdonk 25-02-1955;Bouwvergunningbouw warenhuis Molenstraat 28 Raamsdonk 25-02-1955;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1955.02.25;SHA-256;Niet vertrouwelijk ;;1955.02.25;NL-0834-550509;GDB-0413-02;GDB-0413-02
GDB-0414-01;;Koningstraat;;Koningstraat 19 Ramsdonksveer;Koningstraat;19;;Koningstraat;;514;1955;NL-0834-550514;Beschikking;Bouwvergunning beschikking veranderen winkel Koningstraat 19 Raamsdonksveer 04-03-1955;1955.03.04;veranderen winkel Koningstraat 19 Raamsdonksveer 04-03-1955;Bouwvergunningveranderen winkel Koningstraat 19 Raamsdonksveer 04-03-1955;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1955.03.04;SHA-256;Niet vertrouwelijk ;;1955.03.04;NL-0834-550514;GDB-0414-01;GDB-0414-01
GDB-0415-01;;Pieter Breughelstraat;;Pieter Breughelstraat Raamsdonksveer;Pieter Breughelstraat;;;Pieter Breughelstraat;;533;1955;NL-0834-550533;Beschikking;Bouwvergunning beschikking herbouw woning Pieter Breughelstraat Raamsdonksveer 21-12-1956;1956.12.21; herbouw woning Pieter Breughelstraat Raamsdonksveer 21-12-1956;Bouwvergunning herbouw woning Pieter Breughelstraat Raamsdonksveer 21-12-1956;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1956.12.21;SHA-256;Niet vertrouwelijk ;;1956.12.21;NL-0834-550533;GDB-0415-01;GDB-0415-01
GDB-0415-02;;Pieter Breughelstraat;;Pieter Breughelstraat Raamsdonksveer;Pieter Breughelstraat;;;Pieter Breughelstraat;;533;1955;NL-0834-550533;Tekening (technisch);Bouwvergunning tekening herbouw woning Pieter Breughelstraat Raamsdonksveer 21-12-1956;1956.12.21; herbouw woning Pieter Breughelstraat Raamsdonksveer 21-12-1956;Bouwvergunning herbouw woning Pieter Breughelstraat Raamsdonksveer 21-12-1956;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1956.12.21;SHA-256;Niet vertrouwelijk ;;1956.12.21;NL-0834-550533;GDB-0415-02;GDB-0415-02
GDB-0416-01;;Emmastraat;;Emmastraat 11 Raamsdonksveer;Emmastraat;11;;Emmastraat 11;;552;1955;NL-0834-550552;Beschikking;Bouwvergunning beschikking verbouw slagerij Emmastraat 11 Raamsdonksveer 25-03-1955;1955.03.25;verbouw slagerij Emmastraat 11 Raamsdonksveer 25-03-1955;Bouwvergunning verbouw slagerij Emmastraat 11 Raamsdonksveer 25-03-1955;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1955.03.25;SHA-256;Niet vertrouwelijk ;;1955.03.25;NL-0834-550552;GDB-0416-01;GDB-0416-01
GDB-0416-02;;Emmastraat;;Emmastraat 11 Raamsdonksveer;Emmastraat;11;;Emmastraat 11;;552;1955;NL-0834-550552;Tekening (technisch);Bouwvergunning tekening verbouw slagerij Emmastraat 11 Raamsdonksveer 25-03-1955;1955.03.25;verbouw slagerij Emmastraat 11 Raamsdonksveer 25-03-1955;Bouwvergunning verbouw slagerij Emmastraat 11 Raamsdonksveer 25-03-1955;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1955.03.25;SHA-256;Niet vertrouwelijk ;;1955.03.25;NL-0834-550552;GDB-0416-02;GDB-0416-02
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
